*******************************************************************************************	
SetName: ATLAS_2JET_13TEV_R04
Author: FL	
Date: 2024	
CodesUsed: madgraph	
SMEFTmodel: gluon_dim8_UFO-massless	
process: p p > j j NP^2==4	
Operator: Og	
Coefficient Cg: 1	
Lambda: 1000 Gev	
PDFset: NNPDF40_nnlo_as_0118	
********************************************************************************************	
1.00869	0.00000
1.00992	0.00000
1.01165	0.00000
1.01744	0.00000
1.02348	0.00000
1.02987	0.00000
1.03730	0.00000
1.04593	0.00000
1.05591	0.00000
1.06782	0.00000
1.08244	0.00000
1.10018	0.00000
1.12110	0.00000
1.14672	0.00000
1.18042	0.00000
1.22588	0.00000
1.28176	0.00000
1.35930	0.00000
1.21058	0.00000
1.30193	0.00000
1.40820	0.00000
1.31426	0.00000
1.34217	0.00000
1.29414	0.00000
1.34189	0.00000
1.31866	0.00000
1.30622	0.00000
1.31063	0.00000
1.01021	0.00000
1.01323	0.00000
1.01652	0.00000
1.01902	0.00000
1.02119	0.00000
1.02388	0.00000
1.02724	0.00000
1.03146	0.00000
1.03626	0.00000
1.04234	0.00000
1.04942	0.00000
1.05727	0.00000
1.06800	0.00000
1.08097	0.00000
1.09818	0.00000
1.12180	0.00000
1.15181	0.00000
1.18866	0.00000
1.23166	0.00000
1.28324	0.00000
1.34413	0.00000
1.28585	0.00000
1.35406	0.00000
1.31979	0.00000
1.29383	0.00000
1.27961	0.00000
1.27178	0.00000
1.24165	0.00000
1.01848	0.00000
1.01724	0.00000
1.01605	0.00000
1.01535	0.00000
1.01492	0.00000
1.01535	0.00000
1.01619	0.00000
1.01754	0.00000
1.01905	0.00000
1.02161	0.00000
1.02462	0.00000
1.02894	0.00000
1.03466	0.00000
1.04339	0.00000
1.05451	0.00000
1.06879	0.00000
1.08790	0.00000
1.10991	0.00000
1.13608	0.00000
1.17126	0.00000
1.20923	0.00000
1.25413	0.00000
1.30450	0.00000
1.23945	0.00000
1.29185	0.00000
1.23173	0.00000
1.30576	0.00000
1.00800	0.00000
1.00716	0.00000
1.00643	0.00000
1.00609	0.00000
1.00646	0.00000
1.00726	0.00000
1.00839	0.00000
1.01005	0.00000
1.01249	0.00000
1.01641	0.00000
1.02142	0.00000
1.02827	0.00000
1.03637	0.00000
1.04629	0.00000
1.05871	0.00000
1.07219	0.00000
1.09016	0.00000
1.10946	0.00000
1.13100	0.00000
1.15491	0.00000
1.18144	0.00000
1.20613	0.00000
1.23505	0.00000
1.26672	0.00000
1.00272	0.00000
1.00269	0.00000
1.00283	0.00000
1.00303	0.00000
1.00366	0.00000
1.00484	0.00000
1.00637	0.00000
1.00845	0.00000
1.01078	0.00000
1.01425	0.00000
1.01835	0.00000
1.02339	0.00000
1.02893	0.00000
1.03557	0.00000
1.04336	0.00000
1.05252	0.00000
1.06295	0.00000
1.07579	0.00000
1.08583	0.00000
1.09651	0.00000
1.11158	0.00000
1.00168	0.00000
1.00288	0.00000
1.00485	0.00000
1.00744	0.00000
1.01257	0.00000
1.01879	0.00000
1.03009	0.00000
1.04419	0.00000
