*******************************************************************************************	
SetName: ATLAS_2JET_7TEV_R06	
Author: FL	
Date: 2024	
CodesUsed: madgraph	
SMEFTmodel: gluon_dim8_UFO-massless	
process: p p > j j NP^2==4	
Operator: Og	
Coefficient Cg: 1	
Lambda: 1000 Gev	
PDFset: NNPDF40_nnlo_as_0118	
********************************************************************************************	
1.00132	0.00000
1.00181	0.00000
1.00269	0.00000
1.00381	0.00000
1.00508	0.00000
1.00665	0.00000
1.00858	0.00000
1.01108	0.00000
1.01423	0.00000
1.01891	0.00000
1.02543	0.00000
1.03348	0.00000
1.04363	0.00000
1.05516	0.00000
1.06947	0.00000
1.08522	0.00000
1.10274	0.00000
1.12182	0.00000
1.14307	0.00000
1.16482	0.00000
1.20247	0.00000
1.00118	0.00000
1.00153	0.00000
1.00197	0.00000
1.0025	0.00000
1.00317	0.00000
1.00397	0.00000
1.00501	0.00000
1.00632	0.00000
1.00818	0.00000
1.01901	0.00000
1.02122	0.00000
1.02376	0.00000
1.04104	0.00000
1.04966	0.00000
1.07054	0.00000
1.07536	0.00000
1.10731	0.00000
1.1314	0.00000
1.15315	0.00000
1.13783	0.00000
1.00227	0.00000
1.00275	0.00000
1.00325	0.00000
1.00383	0.00000
1.00444	0.00000
1.00525	0.00000
1.00616	0.00000
1.00718	0.00000
1.00837	0.00000
1.00991	0.00000
1.01172	0.00000
1.01414	0.00000
1.0175	0.00000
1.02188	0.00000
1.02681	0.00000
1.03195	0.00000
1.03783	0.00000
1.04343	0.00000
1.0504	0.00000
1.00067	0.00000
1.00092	0.00000
1.00131	0.00000
1.00151	0.00000
1.00184	0.00000
1.00218	0.00000
1.00265	0.00000
1.00326	0.00000
1.00345	0.00000
1.00481	0.00000
1.00504	0.00000
1.00589	0.00000
1.00719	0.00000
1.00705	0.00000
1.00788	0.00000
1.0097	0.00000
1.0007	0.00000
1.00098	0.00000
1.00161	0.00000
1.00141	0.00000
1.00295	0.00000
1.00464	0.00000
1.00662	0.00000
1.00862	0.00000
1.00173	0.00000
1.00254	0.00000
1.00344	0.00000
1.00428	0.00000
