*******************************************************************************************	
Set Name: CMS_2JET_8TEV_R07	
Author: FL	
Date: 2024	
Codes Used: madgraph	
SMEFT Model: gluon_dim8_UFO-massless	
Process: p p > j j NP^2==2	
Operator: Og	
Coefficient Cg: 1	
Lambda: 1000 GeV	
PDF Set: NNPDF40_nnlo_as_0118	
*******************************************************************************************	
1.00001	0.00000
1.00001	0.00000
1.00002	0.00000
1.00003	0.00000
1.00005	0.00000
1.00007	0.00000
1.00010	0.00000
1.00013	0.00000
1.00018	0.00000
1.00025	0.00000
1.00033	0.00000
1.00041	0.00000
1.00055	0.00000
1.00070	0.00000
1.00086	0.00000
1.00107	0.00000
1.00132	0.00000
1.00159	0.00000
1.00193	0.00000
1.00228	0.00000
1.00269	0.00000
1.00313	0.00000
1.00361	0.00000
1.00404	0.00000
1.00471	0.00000
1.00509	0.00000
1.00572	0.00000
1.00624	0.00000
1.00680	0.00000
1.00733	0.00000
1.00270	0.00000
1.00000	0.00000
1.00000	0.00000
1.00001	0.00000
1.00001	0.00000
1.00001	0.00000
1.00002	0.00000
1.00004	0.00000
1.00005	0.00000
1.00008	0.00000
1.00012	0.00000
1.00017	0.00000
1.00024	0.00000
1.00036	0.00000
1.00053	0.00000
1.00075	0.00000
1.00110	0.00000
1.00160	0.00000
1.00228	0.00000
1.00338	0.00000
1.00487	0.00000
1.00713	0.00000
1.01058	0.00000
1.00681	0.00000
1.01258	0.00000
1.02624	0.00000
1.04541	0.00000
1.00039	0.00000
1.00081	0.00000
1.00167	0.00000
1.00336	0.00000
1.00729	0.00000
1.01552	0.00000
1.03527	0.00000
1.07829	0.00000
1.17599	0.00000
1.20259	0.00000
1.04107	0.00000
1.06879	0.00000
1.23631	0.00000
1.13158	0.00000
1.00001	0.00000
1.00001	0.00000
1.00002	0.00000
1.00003	0.00000
1.00005	0.00000
1.00007	0.00000
1.00010	0.00000
1.00013	0.00000
1.00018	0.00000
1.00025	0.00000
1.00033	0.00000
1.00041	0.00000
1.00055	0.00000
1.00070	0.00000
1.00086	0.00000
1.00107	0.00000
1.00132	0.00000
1.00159	0.00000
1.00193	0.00000
1.00228	0.00000
1.00269	0.00000
1.00313	0.00000
1.00361	0.00000
1.00003	0.00000
1.00006	0.00000
1.00010	0.00000
1.00015	0.00000
1.00025	0.00000
1.00038	0.00000
1.00059	0.00000
1.00087	0.00000
1.00131	0.00000
1.00199	0.00000
1.00288	0.00000
1.00405	0.00000
1.00608	0.00000
1.00876	0.00000
1.01249	0.00000
1.01828	0.00000
1.02659	0.00000
1.00001	0.00000
1.00002	0.00000
1.00003	0.00000
1.00005	0.00000
1.00007	0.00000
1.00010	0.00000
1.00013	0.00000
1.00018	0.00000
1.00025	0.00000
1.00033	0.00000
